date,temp_max,precipitation,weather,wind,temp_min
2021-04-09,97.0,83.0,switch,14.0,97.0
2017-10-27,97.0,89.0,switch,8.0,97.0
2001-11-12,96.0,88.0,playstation-2,8.0,96.0
2021-10-08,95.0,88.0,switch,7.0,95.0
2000-09-24,95.0,91.0,pc,4.0,95.0
2001-07-09,95.0,84.0,playstation-2,11.0,95.0
2020-03-31,95.0,84.0,playstation-4,11.0,95.0
2014-07-29,95.0,92.0,playstation-4,3.0,95.0
2006-11-07,94.0,84.0,xbox-360,10.0,94.0
1996-02-29,94.0,88.0,pc,6.0,94.0
2007-09-25,94.0,81.0,xbox-360,13.0,94.0
1998-10-14,94.0,91.0,pc,3.0,94.0
1996-12-31,94.0,87.0,pc,7.0,94.0
2006-03-14,94.0,91.0,playstation-2,3.0,94.0
2002-03-17,94.0,81.0,playstation-2,13.0,94.0
2005-10-25,94.0,82.0,pc,12.0,94.0
2006-09-13,93.0,87.0,pc,6.0,93.0
2020-06-19,93.0,57.0,playstation-4,36.0,93.0
2020-03-23,93.0,92.0,pc,1.0,93.0
2004-03-16,93.0,88.0,pc,5.0,93.0
2007-03-13,93.0,90.0,playstation-2,3.0,93.0
2017-09-14,93.0,88.0,pc,5.0,93.0
2010-07-27,93.0,83.0,pc,10.0,93.0
2011-11-18,93.0,80.0,pc,13.0,93.0
2017-04-04,93.0,87.0,playstation-4,6.0,93.0
2003-03-11,93.0,84.0,playstation-2,9.0,93.0
2008-11-07,93.0,79.0,xbox-360,14.0,93.0
1999-08-31,93.0,88.0,pc,5.0,93.0
2003-08-13,93.0,87.0,playstation-2,6.0,93.0
2016-05-10,93.0,88.0,playstation-4,5.0,93.0
2001-09-24,92.0,83.0,playstation-2,9.0,92.0
2018-12-07,93.0,86.0,switch,7.0,93.0
2004-11-23,93.0,74.0,pc,19.0,93.0
2015-03-24,92.0,88.0,playstation-4,4.0,92.0
1997-09-30,92.0,74.0,pc,18.0,92.0
2002-07-03,92.0,92.0,pc,0.0,92.0
2007-10-10,92.0,90.0,pc,2.0,92.0
1999-08-11,92.0,91.0,pc,1.0,92.0
2004-09-22,92.0,90.0,pc,2.0,92.0
2009-10-27,92.0,81.0,xbox-360,11.0,92.0
1998-11-30,92.0,90.0,pc,2.0,92.0
2006-10-31,92.0,76.0,playstation-2,16.0,92.0
1999-09-30,92.0,91.0,pc,1.0,92.0
2001-12-17,92.0,89.0,playstation-2,3.0,92.0
1999-11-30,92.0,90.0,pc,2.0,92.0
1999-02-12,92.0,88.0,pc,4.0,92.0
2008-04-30,92.0,82.0,pc,10.0,92.0
2017-04-28,92.0,86.0,switch,6.0,92.0
2016-03-22,92.0,33.0,pc,59.0,92.0
2012-10-08,91.0,85.0,pc,6.0,91.0
1997-10-31,91.0,85.0,pc,6.0,91.0
2005-11-07,91.0,86.0,playstation-2,5.0,91.0
2002-01-20,91.0,85.0,pc,6.0,91.0
2008-11-13,91.0,79.0,pc,12.0,91.0
2003-06-24,91.0,76.0,pc,15.0,91.0
1998-12-21,91.0,89.0,pc,2.0,91.0
2001-11-18,91.0,87.0,pc,4.0,91.0
1999-09-30,91.0,87.0,pc,4.0,91.0
2001-07-25,91.0,86.0,playstation-2,5.0,91.0
2004-11-03,91.0,91.0,playstation-2,0.0,91.0
2004-11-17,91.0,92.0,playstation-2,1.0,91.0
2001-06-18,91.0,84.0,playstation-2,7.0,91.0
2020-08-14,91.0,91.0,pc,0.0,91.0
2007-11-13,91.0,81.0,pc,10.0,91.0
2014-05-06,91.0,66.0,pc,25.0,91.0
2018-07-17,91.0,81.0,switch,10.0,91.0
2000-10-25,91.0,81.0,playstation-2,10.0,91.0
2000-11-16,91.0,87.0,pc,4.0,91.0
2007-01-16,91.0,65.0,pc,26.0,91.0
2010-09-14,91.0,84.0,xbox-360,7.0,91.0
1997-10-09,91.0,86.0,pc,5.0,91.0
2007-02-14,91.0,78.0,pc,13.0,91.0
2020-09-01,91.0,84.0,pc,7.0,91.0
2007-11-20,91.0,87.0,xbox-360,4.0,91.0
1999-12-14,91.0,92.0,pc,1.0,91.0
2005-06-21,91.0,84.0,pc,7.0,91.0
