,name,date
0,The House in Fata Morgana - Dreams of the Revenants Edition -,https://static.metacritic.com/images/products/games/3/f4af18f409aae2c0ca6ba733e0eb50bf-98.jpg
1,Super Mario Galaxy 2,https://static.metacritic.com/images/products/games/7/96ee04660e2b430798eae4f59d9bdeb2-98.jpg
2,NFL 2K1,https://static.metacritic.com/images/products/games/4/18d735e823ff5b4bb6568596e3b902dc-98.jpg
3,Super Mario Galaxy,https://static.metacritic.com/images/products/games/9/2fe120b980872297a7a17ab582f6af7d-98.jpg
4,Halo: Combat Evolved,https://static.metacritic.com/images/products/games/9/608a28ac37e2b3fc92291ca176867f67-98.jpg
5,Metroid Prime,https://static.metacritic.com/images/products/games/6/319fee49d72c25208b5dc3d8ae65f84e-98.jpg
6,The Legend of Zelda: Ocarina of Time,https://static.metacritic.com/images/products/games/2/70c7a7d5ef1a36a69018111cc1478f30-98.jpg
7,Super Mario Odyssey,https://static.metacritic.com/images/products/games/0/95d6598e9d4f35b872429b25d2d044d0-98.jpg
8,The Legend of Zelda: The Wind Waker,https://static.metacritic.com/images/products/games/9/c4c9d1e723bdedc5a5a8795b3d289299-98.jpg
9,Uncharted 2: Among Thieves,https://static.metacritic.com/images/products/games/5/bcd9564959c78dc1f80bb54950bda4ec-98.jpg
10,Gran Turismo,https://static.metacritic.com/images/products/games/8/dea46d06f8c66a24ada212f4f9b0d710-98.jpg
11,Tekken 3,https://static.metacritic.com/images/products/games/0/fd71737a311c55b0bf05a3e9ecbc1653-98.jpg
12,Metal Gear Solid 2: Sons of Liberty,https://static.metacritic.com/images/products/games/9/20c772e77d9728b33faace026d13f835-98.jpg
13,Tetris Effect: Connected,https://static.metacritic.com/images/products/games/0/0110e08a82b38913f52f9b65c8380dc1-98.jpg
14,Grand Theft Auto Double Pack,https://static.metacritic.com/images/products/games/4/5f9a719ed9b81c375c57aa8a8b5bbb5e-98.jpg
15,Baldur's Gate II: Shadows of Amn,https://static.metacritic.com/images/products/games/9/fee92d54ce517ca92f49122771fd4aa5-98.jpg
16,Gran Turismo 3: A-Spec,https://static.metacritic.com/images/products/games/4/b88c306c53289d8c99b7d6a93d5ac4e1-98.jpg
17,The Legend of Zelda Collector's Edition,https://static.metacritic.com/images/products/games/1/b752da9ceb16a38ced912d788267c929-98.jpg
18,The Legend of Zelda: A Link to the Past,https://static.metacritic.com/images/products/games/8/e3de1753570b889cc3f3742191dd6af3-98.jpg
19,The Legend of Zelda: Majora's Mask,https://static.metacritic.com/images/products/games/1/d3ab93207df2def4a5d7f60a3a16a35c-98.jpg
20,The Last of Us,https://static.metacritic.com/images/products/games/9/18523f08edc05b0a344edf5f6e6f49d3-98.jpg
21,Persona 5 Royal,https://static.metacritic.com/images/products/games/2/1d340c792338fa16de96bd8b60d3cab5-98.jpg
22,Gears of War,https://static.metacritic.com/images/products/games/5/4e6253bf2efe800e05d4c2270a52a674-98.jpg
23,Chrono Cross,https://static.metacritic.com/images/products/games/1/4d458337d5127394cea7b9f8b444d8f2-98.jpg
24,The Legend of Zelda: Ocarina of Time 3D,https://static.metacritic.com/images/products/games/0/4b6d1d1a1f09f9feb540f1337278a155-98.jpg
25,The Last of Us Remastered,https://static.metacritic.com/images/products/games/6/dcb5d2f7d2f23d0d4aa8fd809af6b12e-98.jpg
26,Sid Meier's Civilization II,https://static.metacritic.com/images/products/games/2/a316dd672da65f4bec1495e9078467e7-98.jpg
27,Halo 3,https://static.metacritic.com/images/products/games/6/23421b773cd4739a8a3c4e064fc93d9f-98.jpg
28,Ninja Gaiden Black,https://static.metacritic.com/images/products/games/3/cc3c4a429beebd343556da429b0ce893-98.jpg
29,Super Mario Advance 4: Super Mario Bros. 3,https://static.metacritic.com/images/products/games/8/93cab3b35e23b4443e27bdd09cd0f10e-98.jpg
30,Resident Evil Code: Veronica,https://static.metacritic.com/images/products/games/5/2b4cc311cda83d6f44f7daedf6a300ba-98.jpg
31,Jet Grind Radio,https://static.metacritic.com/images/products/games/8/89817a60cf25748d318d11543a7fdc6b-98.jpg
32,Diablo,https://static.metacritic.com/images/products/games/2/3d23d53559172dfdb3b3d910f9923547-98.jpg
33,Grim Fandango,https://static.metacritic.com/images/products/games/2/c3ac5d8edcc4d201cb9e92ad8903d9a5-98.jpg
34,Metal Gear Solid 3: Subsistence,https://static.metacritic.com/images/products/games/2/7362d4776d23a2c7fafb0a555fac686f-98.jpg
35,Metal Gear Solid 4: Guns of the Patriots,https://static.metacritic.com/images/products/games/2/4cd9a6dee7a32ede89538ff28f23235c-98.jpg
