id,value,des,games
flare.TTA.ElectronicArts,325,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. Founded in May 1982 by Apple employee Trip Hawkins, the company was a pioneer of the early home computer game industry and promoted the designers and programmers responsible for its games as ""software artists."" EA published numerous games and some productivity software for personal computers, all of which were developed by external individuals or groups until 1987's Skate or Die!. The company shifted toward internal game studios, often through acquisitions, such as Distinctive Software becoming EA Canada in 1991.
Currently, EA develops and publishes games of established franchises, including Battlefield, Need for Speed, The Sims, Medal of Honor, Command & Conquer, Dead Space, Mass Effect, Dragon Age, Army of Two, Apex Legends, and Star Wars, as well as the EA Sports titles FIFA, Madden NFL, NBA Live, NHL, and EA Sports UFC.",Super Mario Galaxy 2|@|Madden NFL 2003|@|Madden NFL 2004|@|NHL 2002|@|INSIDE|@|F1 Challenge '99-'02|@|NCAA Football 2004|@|NCAA Football 2003
flare.CVU.Capcom,150,"Capcom Co., Ltd. (Japanese: 株式会社カプコン, Hepburn: Kabushiki-gaisha Kapukon) is a Japanese video game developer and publisher.[5] It has created a number of multi-million-selling game franchises, with its most commercially successful being Resident Evil, Monster Hunter, Street Fighter, Mega Man, Devil May Cry, Dead Rising, Marvel vs. Capcom, and Ace Attorney. Established in 1979,[6] it has become an international enterprise with subsidiaries in Asia, Europe, and North America",The Legend of Zelda: A Link to the Past|@|Street Fighter IV|@|Super Street Fighter IV|@|Resident Evil 4: Wii Edition|@|Resident Evil (2002)|@|Okami HD|@|Monster Hunter: World - Iceborne|@|Monster Hunter: World
flare.CVU.Nintendo,130,"Nintendo Co., Ltd. (jap. 任天堂株式会社) is a Japanese multinational video game company headquartered in Kyoto, Japan. It develops video games and video game consoles. Nintendo was founded in 1889 as Nintendo Karuta[c] by craftsman Fusajiro Yamauchi and originally produced handmade hanafuda playing cards. It gained international recognition with the release of Donkey Kong in 1981 and the Nintendo Entertainment System and Super Mario Bros. in 1985.", The Legend of Zelda: Ocarina of Time|@|Super Mario Odyssey|@|Super Mario Galaxy|@|The Legend of Zelda: Breath of the Wild|@|The Legend of Zelda: The Wind Waker|@|The Legend of Zelda: Twilight Princess|@|The Legend of Zelda Collector's Edition|@|The Legend of Zelda: Majora's Mask
flare.TTA.TelltaleGames,104,"Telltale Incorporated (trade name: Telltale Games) was an American video game developer based in San Rafael, California. The company was founded in July 2004 by former LucasArts developers Kevin Bruner, Dan Connors and Troy Molander, following LucasArts' decision to leave the adventure game genre. Telltale established itself to focus on adventure games using a novel episodic release schedule over digital distribution, creating its own game engine, the Telltale Tool, to support this. It closed in October 2018 after filing for bankruptcy protection.","The Walking Dead: A Telltale Games Series|@|Tales From The Borderlands: Episode 5 - The Vault of the Traveler|@|The Walking Dead: Episode 5 - No Time Left|@|The Walking Dead: Episode 3 - Long Road Ahead|@|Sam & Max Episode 204: Chariots of the Dogs|@|Batman: The Enemy Within - Episode 5: Same Stitch|@|Sam & Max Episode 205: What's New, Beelzebub?|@|Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak"
flare.CVU.Konami,86,"Konami Holdings Corporation[nb 1][nb 2] is a Japanese entertainment conglomerate and video game company. In addition to being a video game developer and publisher, it also produces and distributes trading cards, anime, tokusatsu, pachinko machines, slot machines[7] and arcade cabinets. Konami has casinos around the world and operates health and physical fitness clubs across Japan.",Castlevania: Symphony of the Night|@|Dance Dance Revolution|@|Castlevania: Order of Ecclesia|@|Castlevania: Portrait of Ruin|@|Dance Dance Revolution Konamix|@|Castlevania Advance Collection|@|Winning Eleven: Pro Evolution Soccer 2007|@|Ring of Red
flare.USC.SquareEnix,76,"Square Enix Holdings Co., Ltd.[a] is a Japanese entertainment conglomerate and video game company best known for its Final Fantasy, Dragon Quest and Kingdom Hearts role-playing video game franchises, among numerous others. Outside of video game publishing and development, it is also in the business of merchandise, arcade/amusement facilities and manga publication under its Gangan Comics brand.", Final Fantasy XII|@|Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition|@|Final Fantasy XIV: Shadowbringers|@|Kingdom Hearts II|@|Final Fantasy VII Remake|@|Final Fantasy XIV: Stormblood|@|Dragon Quest XI: Echoes of an Elusive Age|@|Final Fantasy IV Pixel Remaster
flare.USC.Ubisoft,195,"Ubisoft Entertainment SA (/ˈjuːbisɒft, -sɔːft/; French: [ybisɔft];[6] formerly Ubi Soft Entertainment SA) is a French video game company headquartered in Saint-Mandé with development studios across the world. Its video game franchises include Assassin's Creed, Far Cry, For Honor, Just Dance, Prince of Persia, Rabbids, Rayman, Tom Clancy's, and Watch Dogs.",Rayman Legends|@|Rayman 2: The Great Escape|@|Trials Evolution|@|Silent Hunter III|@|Rayman 2 Revolution|@|Far Cry 3|@|Assassin's Creed: Brotherhood|@|Assassin's Creed II
flare.USC.Sega,57,"Sega Corporation[a] is a Japanese multinational video game and entertainment company headquartered in Shinagawa, Tokyo. Its international branches, Sega of America and Sega Europe, are headquartered in Irvine, California, and London. Its division for the development of both arcade games and home video games, Sega Games, has existed in its current state since 2020; from 2015 to that point, the two had made up separate entities known as Sega Games and Sega Interactive Co., Ltd. Sega is a subsidiary of Sega Group Corporation, a part of Sega Sammy Holdings. From 1983 until 2001, Sega also developed video game consoles.",Virtua Fighter 4: Evolution|@|Sonic Mania Plus|@|Valkyria Chronicles|@|Yakuza: Like a Dragon|@|Yakuza Kiwami 2|@|F355 Challenge|@|Sega Ages: OutRun|@|Hatsune Miku: Project Diva Future Tone - Future Sound
flare.OOP.OmegaForce,51,"Omega Force (Japanese: オメガフォース) (stylised as ω-Force) is a Japanese video game developer and a division of Koei Tecmo, founded in 1996 by Akihiro Suzuki and Kenichi Ogasawara,[2][3] and is best known for the Dynasty Warriors video games.",Dragon Quest Builders 2|@|Dynasty Warriors 8: Xtreme Legends - Definitive Edition|@|Hyrule Warriors: Age of Calamity|@|Dynasty Warriors 4|@|Dragon Quest Heroes: The World Tree's Woe and the Blight Below|@|Warriors Orochi 3 Ultimate|@|Persona 5 Strikers|@|Samurai Warriors 4
flare.TTA.Namco,110,"Namco Limited[a] (simply known as Namco) was a Japanese multinational video game and entertainment company, headquartered in Ōta, Tokyo. It held several international branches, including Namco America in Santa Clara, California, Namco Europe in London, Namco Taiwan in Kaohsiung, and Shanghai Namco in mainland China.",Tekken 3|@|SoulCalibur II|@|Super Smash Bros. for Wii U|@|Pac-Man Championship Edition DX|@|Klonoa 2: Lunatea's Veil|@|SoulCalibur|@|Tekken: Dark Resurrection|@|Ridge Racer
